Games,Event,Language,Level,Distribution period
RGBY,Gym Leader Castle Bulbasaur,Japanese,5,"April 30, 1999 onwards"
RBY,Gym Leader Castle Bulbasaur,English,5,"February 29, 2000 onwards"
RBY,Gym Leader Castle Bulbasaur,French,5,"April 7, 2000 onwards"
RBY,Gym Leader Castle Bulbasaur,German,5,"April 7, 2000 onwards"
RBY,Gym Leader Castle Bulbasaur,Italian,5,"April 7, 2000 onwards"
RBY,Gym Leader Castle Bulbasaur,Spanish,5,"April 7, 2000 onwards"
HOME,HOME Mobile Hidden Ability Bulbasaur,Worldwide,5,"February 12, 2020 onwards"
HOME,HOME Mobile Gigantamax Factor Bulbasaur,Worldwide,14,"June 17 to 30, 2021"
